uid,age
1517710,49
1518296,46
1526265,42
1527638,53
1528191,54
1528713,23
1528867,39
1529113,43
1529582,40
1529677,48
1530981,52
1539775,29
1552950,34
1553067,58
1553085,52
1553125,40
1553283,48
1553387,63
1553715,52
1553751,35
1553832,53
1555321,44
1555353,43
1555669,47
1555673,48
1556023,46
1556325,46
1556555,42
1556582,44
1557996,45
1558008,40
1559651,41
1600339,43
1600587,42
1600609,37
1600726,45
1600762,52
1600776,49
1600780,44
1600960,39
1601103,58
1601108,43
1601293,45
1601563,37
1601581,35
1601766,55
1601789,46
1601851,51
1601879,43
1601955,39
1602080,46
1602120,45
1602198,42
1602387,42
1602521,38
1602652,46
1603016,43
1603368,52
1603566,43
1603570,45
1603598,52
1603601,43
1603665,59
1603755,48
1603773,39
1603782,54
1603809,43
1603836,48
1603886,42
1603908,59
1603953,44
1605028,45
1605087,75
1605096,79
1605587,42
1605721,50
1605776,37
1605870,53
1606211,42
1606329,42
1606379,41
1606509,42
1606810,43
1606883,39
1606919,50
1606991,52
1608007,41
1608255,39
1608287,41
1608962,49
1608980,47
1609029,40
1609033,46
1609213,40
1609358,41
1609376,44
1609385,56
1609560,42
1610095,45
1610153,39
1615865,41
1616003,48
1616170,43
1616602,47
1618551,40
1618768,45
1619118,47
1620355,47
1620666,37
1620896,43
1621089,37
1621750,50
1621877,49
1621917,53
1622083,48
1622155,46
1622281,43
1622556,43
1622592,41
1622628,49
1622876,39
1623131,47
1623181,47
1623262,37
1623320,42
1623712,47
1623839,37
1625035,53
1625977,49
1626200,37
1626386,44
1626606,42
1626679,42
1626723,46
1627600,43
1627722,45
1627731,68
1628357,48
1628613,43
1628636,41
1628677,51
1628681,55
1628785,43
1629162,39
1629374,40
1629577,39
1629798,47
1629838,62
1630156,44
1630291,42
1630363,46
1630377,52
1630552,47
1630561,45
1630665,44
1630750,42
1630778,41
1630782,33
1630818,36
1630935,41
1631083,45
1631100,58
1631286,40
1631975,45
1632398,55
1632686,48
1632901,38
1632910,38
1632956,48
1635507,46
1635688,44
1635719,50
1635859,41
1635958,54
1635985,62
1636088,41
1637393,41
1638009,30
1638090,54
1638658,43
1638725,36
1638789,40
1638801,46
1639008,61
1639170,53
1639210,48
1639279,35
1639378,38
1639657,57
1639800,36
1650807,42
1650820,38
1650933,39
1650979,60
1651009,41
1651031,38
1651202,47
1651220,62
1651383,49
1651392,41
1651509,56
1651711,49
1651789,56
1651798,41
1651897,61
1651950,48
1652003,43
1652017,44
1652102,46
1652300,40
1652553,40
1652693,49
1652706,45
1652751,39
1653615,45
1653732,54
1653818,40
1653921,45
1656973,40
1657076,57
1658525,48
1658773,42
1658778,46
1659006,44
1659083,56
1659209,64
1659222,46
1659272,55
1659277,46
1659295,57
1660112,40
1660266,36
1660711,54
1660815,57
1660860,44
1661035,42
1661139,51
1661189,35
1662098,53
1662223,46
1662278,39
1663119,57
1665225,46
1665900,41
1665978,45
1666391,51
1666521,40
1666567,59
1666689,44
1666693,46
1666698,42
1666710,47
1666760,38
1668187,43
1668272,47
1668303,43
1668358,61
1668380,61
1668515,52
1668551,42
1668718,46
1668957,43
1668989,43
1669078,51
1669136,43
1669203,44
1669226,37
1669230,57
1669370,41
1669389,48
1669505,43
1669519,54
1669532,53
1669537,42
1669555,41
1669569,52
1669587,44
1669618,43
1669636,40
1669663,55
1669686,58
1669988,46
1670030,45
1670166,56
1670215,41
1670391,63
1670715,40
1671057,43
1671106,48
1671737,55
1672038,37
1672209,36
1672263,59
1672380,46
1672399,44
1672970,41
1673168,35
1673181,39
1673320,46
1673370,48
1673816,56
1673852,37
1675111,47
1675116,54
1675125,41
1675189,54
1675201,47
1675283,39
1675292,47
1675602,52
1675657,48
1675760,44
1675797,47
1675819,40
1675873,53
1676999,50
1677691,39
1677867,41
1677966,52
1677975,55
1678005,46
1678776,28
1678988,50
1680020,50
1680110,45
1680336,48
1680520,44
1680755,43
1681173,54
1681231,35
1681768,46
1681803,57
1681961,52
1681998,44
1682037,62
1682276,48
1682285,50
1683392,41
1685138,49
1685232,51
1686191,46
1686213,46
1686263,52
1686295,54
1686510,38
1686538,46
1686727,42
1686759,43
1686777,44
1686803,41
1686808,51
1686826,53
1686853,46
1687271,27
1687839,46
1688018,46
1688338,41
1688365,46
1688716,58
1688793,39
1688798,44
1688856,44
1688860,48
1688883,60
1688888,42
1688900,55
1688991,38
1689003,70
1689071,42
1689265,39
1689323,53
1689328,48
1689332,38
1689337,46
1689350,52
1689396,41
1689553,40
1690268,40
1690628,52
1692257,42
1692860,69
1693053,61
1693305,56
1693337,43
1693373,40
1693616,46
1693657,45
1693698,52
1696230,53
1696262,48
1697685,57
1697716,50
1697798,46
1697838,46
1697856,44
1697860,50
1697865,39
1697879,40
1698012,53
1698026,48
1698053,40
1698206,59
1698265,40
1698288,35
1698503,42
1698891,53
1702881,40
1705185,52
1708961,43
1709226,22
1711859,45
1712150,45
1712731,41
1712763,48
1712830,51
1712871,51
1713050,64
1715102,48
1715832,39
1717317,48
1717920,47
1718023,63
1718226,54
1718785,51
1718979,43
1719167,44
1719626,46
1720250,43
1720831,38
1721051,57
1721083,42
1721533,50
1721718,46
1723531,41
1723775,44
1723888,52
1725025,41
1725700,59
1725953,44
1726083,58
1726358,46
1728789,50
1730673,41
1730939,54
1731118,52
1731203,55
1731555,43
1731618,32
1731708,42
1731898,45
1732513,44
1732685,39
1733535,47
1733666,50
1733751,47
1736055,42
1736136,60
1736965,37
1737239,42
1737388,40
1737509,54
1737603,39
1737829,50
1737973,26
1738099,39
1738337,33
1738382,51
1738765,48
1739831,47
1751666,40
1751689,48
1751828,26
1752958,56
1753088,43
1753565,41
1753583,42
1753858,42
1755036,44
1755329,42
1755513,41
1755522,60
1756666,38
1757093,43
1757570,43
1759087,39
1759096,38
1759136,47
1760913,46
1761697,46
1761912,43
1762097,45
1762655,43
1762673,40
1762682,54
1762691,43
1762862,52
1763000,45
1763019,64
1763226,40
1763280,48
1763299,47
1763389,48
1763505,60
1763569,60
1765215,51
1765599,54
1765616,38
1765666,43
1766827,38
1767015,51
1767123,26
1767137,52
1768311,46
1769252,40
1769991,44
1770188,47
1770755,39
1770999,45
1771191,46
1771597,51
1771678,54
1771768,44
1771777,43
1771790,46
1771907,54
1771925,39
1771952,64
1772695,39
1772758,46
1773617,35
1775188,50
1775377,36
1775822,65
1775836,55
1775859,46
1775881,53
1775935,45
1775953,40
1775971,45
1775999,43
1776001,38
1776015,34
1776088,36
1776150,62
1776277,49
1776385,44
1776970,50
1777005,48
1777050,40
1777203,46
1777217,48
1777221,45
1777253,47
1777267,52
1777325,46
1777500,49
1777505,42
1777663,42
1777681,40
1777983,40
1777997,59
